"iso","adm1","adm2","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"USA",21,1,2001,136.191995256590796095,40564.071612941163682
"USA",21,2,2001,136.914843278036572894,44195.200707990414321
"USA",21,3,2001,141.500552669487789595,46853.803815972955940
"USA",21,4,2001,75.948445866408571481,26054.675832739142341
"USA",21,5,2001,94.833751097851724516,31894.489081454569859
"USA",21,6,2001,29.548056432526037046,8049.890408894241100
"USA",21,7,2001,40.109982649199171371,11775.483354347190497
"USA",21,8,2001,155.49473624906068345,51008.627229644960144
"USA",21,9,2001,226.992261349841660895,75540.090001875968890
"USA",21,10,2001,14.316215230787760701,3632.507359818639027
"USA",21,11,2001,123.77231640600048576,32036.130542394155905
"USA",21,12,2001,82.285072807061582996,27101.9858537451455824
"USA",21,13,2001,76.45887938611769030,23647.276888325441850
"USA",21,14,2001,2.69631147169053817,1005.169555096083383
"USA",21,15,2001,64.436579939604957168,18061.278763412074843
"USA",21,16,2001,244.650863537468974646,71738.690685967292722
"USA",21,17,2001,13.69828280583333551,4428.8308239215338986
"USA",21,18,2001,222.44478048611801208,73137.080727478847109
"USA",21,19,2001,760.668076208901186192,260893.375595948563134
"USA",21,20,2001,69.670645092708363046,27254.268233985719848
"USA",21,21,2001,33.48213576221137016,9644.142647878772564
"USA",21,22,2001,621.335111099231712083,212000.7236120191064583
"USA",21,23,2001,997.269870789732699177,314831.463832610725751
"USA",21,1,2002,141.99333008827076340,40889.972248044204132
"USA",21,2,2002,191.689345291197968195,66725.0701884185241255
"USA",21,3,2002,92.556266362964345151,31789.0468647071283132
"USA",21,4,2002,73.109591840987385984,25320.942441791245447
"USA",21,5,2002,92.49567444513422184,33878.216431679282416
"USA",21,6,2002,26.360800300681423759,8412.8103543491397479
"USA",21,7,2002,57.381341949676620964,19268.209593914550526
"USA",21,8,2002,389.653379106291130274,134660.6453872201826553
"USA",21,9,2002,236.966015735269382679,100217.330439355050135
"USA",21,10,2002,49.764317555789954671,14917.4910086107071793
"USA",21,11,2002,408.849653352010261699,107945.485361532499478
"USA",21,12,2002,54.890539183326806513,19008.8449550298565814
"USA",21,13,2002,54.632946557992722936,17870.0616523199646852
"USA",21,14,2002,5.03191706995225728,1872.71412350211520
"USA",21,15,2002,36.057424643088104976,11217.959781989725359
"USA",21,16,2002,293.96629383090662889,92579.650671294822064
"USA",21,17,2002,44.101641953335515236,16379.482557166007764
"USA",21,18,2002,411.380992790356639479,146613.956212804174441
"USA",21,19,2002,524.476756603781885942,202579.798753382950243
"USA",21,20,2002,51.925684492033418864,18339.474021016431545
"USA",21,21,2002,50.407559815379779594,16363.292725020928253
"USA",21,22,2002,340.617871954846401183,127640.515795276515836
"USA",21,23,2002,376.728836823860552091,122449.0221926760564182
"USA",21,1,2003,90.59215446037762485,27642.322860730995849
"USA",21,2,2003,157.904175445390775715,53048.526150800866606
"USA",21,3,2003,81.710808800690034974,29458.422772577288565
"USA",21,4,2003,74.31815519798829235,28168.919522810919300
"USA",21,5,2003,45.3823216831923626,15883.9394229412965
"USA",21,6,2003,18.481262703684900334,5853.299660190153904
"USA",21,7,2003,40.82860143271269378,13822.771055913601745
"USA",21,8,2003,319.756229783556980381,115114.898313593168504
"USA",21,9,2003,83.731112494533409765,27893.721696922884617
"USA",21,10,2003,19.382788310915802166,5574.017549677335534
"USA",21,11,2003,43.38202886784504474,12986.108219711379667
"USA",21,12,2003,63.682038800327584076,22158.857685607517067
"USA",21,13,2003,84.708910675676982832,29780.939468515934381
"USA",21,14,2003,5.395401571664494596,2211.763044844496147
"USA",21,15,2003,29.339964460902772691,8885.324352396231261
"USA",21,16,2003,218.44895881136469309,70165.127446615762392
"USA",21,17,2003,5.58811798186197944,1937.302045955243053
"USA",21,18,2003,169.481766680525291754,60519.884853589700133
"USA",21,19,2003,103.956676156204339556,39033.672208195525753
"USA",21,20,2003,20.96976976102648054,7627.629711086068676
"USA",21,21,2003,26.51285272418620548,8430.1863729651273172
"USA",21,22,2003,260.220186661456530901,87914.068095331017694
"USA",21,23,2003,327.857988263520276310,107397.2355543203622165
"USA",21,1,2004,164.82697013064447203,48873.848057409095706
"USA",21,2,2004,118.26037754303838698,39761.17425125248521
"USA",21,3,2004,86.883280357341562038,30797.115286954273365
"USA",21,4,2004,67.35125797979165663,24683.782898657291313
"USA",21,5,2004,126.97601979780628012,46207.13908154534909
"USA",21,6,2004,20.64936821446397455,6738.31884813055569
"USA",21,7,2004,72.95104169011723956,23648.022323579580993
"USA",21,8,2004,322.64909703864639713,106294.218787095123485
"USA",21,9,2004,280.42942977158408433,108621.454140524897218
"USA",21,10,2004,53.24178231694882704,17299.718683890074305
"USA",21,11,2004,309.19995553504677180,87696.8949423970971897
"USA",21,12,2004,96.03555819266273068,33812.382481193251194
"USA",21,13,2004,70.50069622578944629,23741.571472632357792
"USA",21,14,2004,6.948486596738281714,2561.950679222671142
"USA",21,15,2004,42.15174357891713173,13115.280879119928918
"USA",21,16,2004,269.323615027998381104,88378.70305267630206
"USA",21,17,2004,48.87912393927293662,19340.588841856342064
"USA",21,18,2004,264.963058422397970375,95886.108526318348885
"USA",21,19,2004,170.712352404880130440,64724.873364151940358
"USA",21,20,2004,46.17765350687502095,17297.263160163476730
"USA",21,21,2004,81.300464517875458725,25615.8717738455984682
"USA",21,22,2004,281.122247645567063683,104201.0751377454134455
"USA",21,23,2004,376.934194675703033191,120058.4159762981265354
"USA",21,1,2005,146.60984793345064123,43742.393360957405037
"USA",21,2,2005,162.37018937285321283,57471.889845692822943
"USA",21,3,2005,154.721087797341399664,53758.317940663550608
"USA",21,4,2005,55.336541948997405655,20600.959888051196117
"USA",21,5,2005,106.89147609175153623,40249.183126424922587
"USA",21,6,2005,21.884167591328125201,7176.894540251322306
"USA",21,7,2005,52.93159807422747814,17566.18608735365867
"USA",21,8,2005,399.368921807826092096,137085.974010236451899
"USA",21,9,2005,193.04182207884569747,65199.572257363780149
"USA",21,10,2005,90.86042115024527178,29546.667301370007878
"USA",21,11,2005,307.284897915435687646,87570.528571289852857
"USA",21,12,2005,116.27487742463349909,40419.194518477995882
"USA",21,13,2005,131.998213504656862905,46783.955542544541253
"USA",21,14,2005,15.93955981229600884,7126.693136318211414
"USA",21,15,2005,70.288134655130014358,24559.111063886914233
"USA",21,16,2005,633.179813500671359194,208957.665002062352379
"USA",21,17,2005,11.82650541839626857,4206.919107070928426
"USA",21,18,2005,260.38761560565376542,95587.8729052007459668
"USA",21,19,2005,314.15536580700061306,116406.640789473230431
"USA",21,20,2005,98.37547245458103355,37861.55358411974057
"USA",21,21,2005,43.23281680277559909,13937.21370748625238
"USA",21,22,2005,279.445662669420629071,98677.9978363174044865
"USA",21,23,2005,556.515224610220329660,191816.0121841831989764
"USA",21,1,2006,167.62389698392172560,50719.967909157428350
"USA",21,2,2006,122.176098473411376252,43842.961340956661109
"USA",21,3,2006,136.862775875086823465,51185.1483998094542263
"USA",21,4,2006,114.524136399989134514,44395.31079706140023
"USA",21,5,2006,31.37227244335722213,11635.990580263627575
"USA",21,6,2006,30.875515048105462989,10036.8516342669542995
"USA",21,7,2006,131.700206699448732383,45554.446802745219237
"USA",21,8,2006,375.381166645343777786,130281.481086856655996
"USA",21,9,2006,229.124784435939850129,84476.695590886288648
"USA",21,10,2006,42.25444244911677152,13570.514866103294207
"USA",21,11,2006,898.97497357158454129,253811.173362291599284
"USA",21,12,2006,118.942754988539852354,41984.889295692114390
"USA",21,13,2006,52.43611314069022434,18675.90873519994790
"USA",21,14,2006,10.30833261087891077,4082.071601095971337
"USA",21,15,2006,59.601252792098583909,19556.618867321419919
"USA",21,16,2006,426.67045114697178972,145107.027517150675419
"USA",21,17,2006,19.564946294618056016,7601.022277752949662
"USA",21,18,2006,273.235292673739168894,100240.9982871886513363
"USA",21,19,2006,331.613414671443131695,122585.351638941575328
"USA",21,20,2006,86.90235920360457631,35980.48958052515998
"USA",21,21,2006,30.625006684197067141,9907.989169962803061
"USA",21,22,2006,382.683810554342283165,139175.1842732921994823
"USA",21,23,2006,509.725203432630594367,175325.5610454453901052
"USA",21,1,2007,241.980504257953690926,73173.144445009369591
"USA",21,2,2007,146.98208236179201775,53043.810269885111433
"USA",21,3,2007,126.66679200706616538,46740.988801004975001
"USA",21,4,2007,82.46282900594400464,30314.955688958766402
"USA",21,5,2007,122.14172319639731955,46067.634576089997588
"USA",21,6,2007,32.68698460586589061,10631.691549034164745
"USA",21,7,2007,111.684955283094995915,39771.452990892861155
"USA",21,8,2007,407.316830592441542109,149716.303158672705914
"USA",21,9,2007,203.05195511283636817,74761.73241557235502
"USA",21,10,2007,80.27570707805557197,26101.535741186081174
"USA",21,11,2007,328.78725325427706517,98442.091315670905603
"USA",21,12,2007,111.60881344445534976,41274.7183151371085145
"USA",21,13,2007,69.20088719624789986,24486.424279663392950
"USA",21,14,2007,3.83188822958767388,1507.902660987092380
"USA",21,15,2007,36.719014312725676122,11673.838107707078803
"USA",21,16,2007,382.803406203372342018,127593.4781571229894985
"USA",21,17,2007,9.24445058125651030,3840.61970774499522
"USA",21,18,2007,199.122958453687212715,74496.314676477249483
"USA",21,19,2007,245.77951554991356635,92721.9810573666885536
"USA",21,20,2007,37.09408317111976537,14772.94379926024074
"USA",21,21,2007,62.48020262091365878,20572.683726735127843
"USA",21,22,2007,206.254404064587809826,82281.362680532979550
"USA",21,23,2007,434.469207129796201464,158594.907633677700409
"USA",21,1,2008,197.167612585800796876,63604.851496986823122
"USA",21,2,2008,95.737568158721755315,33976.352835487249984
"USA",21,3,2008,69.60554443309024629,24482.33395549308199
"USA",21,4,2008,67.54777215047965481,26249.359850042645518
"USA",21,5,2008,58.10208039492412342,22710.303793739114944
"USA",21,6,2008,16.768146938585068914,5332.952713913920561
"USA",21,7,2008,49.647567102938447054,18301.340574742578090
"USA",21,8,2008,263.168612579511846457,95496.373918578249445
"USA",21,9,2008,191.23883174935573576,72039.521609781397413
"USA",21,10,2008,49.68188985921442362,16042.400364529784498
"USA",21,11,2008,361.731156955744246636,107223.179394769042839
"USA",21,12,2008,59.77339509727427878,22062.84993485710154
"USA",21,13,2008,33.42891445986106345,11251.01286511509562
"USA",21,14,2008,14.49442324620876832,5614.06951773887512
"USA",21,15,2008,68.708545528912784415,22704.401789152153697
"USA",21,16,2008,239.581051248157793598,83442.656662171481903
"USA",21,17,2008,80.27710635628254169,31614.097138148442952
"USA",21,18,2008,223.811955479394806264,86817.189613962344762
"USA",21,19,2008,167.254080358782393981,70096.055750990496725
"USA",21,20,2008,27.93622235532113936,12037.286544024085552
"USA",21,21,2008,40.65460639264102034,12971.254262394374229
"USA",21,22,2008,156.665969368825997728,58782.987052268947082
"USA",21,23,2008,189.822006520390379414,69369.584525770131852
"USA",21,1,2009,192.878423508356845805,63740.627579951804477
"USA",21,2,2009,96.39047913624544201,36995.755400576893403
"USA",21,3,2009,63.71831575340723793,24596.94658874114268
"USA",21,4,2009,75.62947261633476295,30604.618532712561002
"USA",21,5,2009,43.5647380797569258,17115.80166276639149
"USA",21,6,2009,12.94384898885850730,4207.858683754071338
"USA",21,7,2009,42.320659460195257006,15284.4145532820752324
"USA",21,8,2009,249.85402607357863989,93925.179780751400304
"USA",21,9,2009,139.34203562990012205,52637.437204505194914
"USA",21,10,2009,21.189289772421877324,7201.669201541819021
"USA",21,11,2009,246.319889211201989404,77288.504562259295716
"USA",21,12,2009,54.04852431624343907,20858.83552420769918
"USA",21,13,2009,24.2723099990060773,8964.767601406021744
"USA",21,14,2009,9.87823171478732712,3968.525056108516307
"USA",21,15,2009,94.050431073053147826,30897.052544470659428
"USA",21,16,2009,213.451876954795686197,78761.732040894555660
"USA",21,17,2009,20.24050178825520151,7963.801757887217433
"USA",21,18,2009,208.430964786692490815,81693.030415920977213
"USA",21,19,2009,194.756446122882348239,82728.005129966668497
"USA",21,20,2009,28.75869605641496776,15132.88831570321072
"USA",21,21,2009,32.3558606602321979,11637.829341590976844
"USA",21,22,2009,163.431098323784733565,60526.326229129243991
"USA",21,23,2009,218.944535223165589046,84379.310071844161208
"USA",21,1,2010,205.91511274889941265,68389.450640415498936
"USA",21,2,2010,105.98015376248273501,39463.274263518197977
"USA",21,3,2010,48.91573160508249202,19582.568982505744003
"USA",21,4,2010,38.646354082758271481,15220.238865021426560
"USA",21,5,2010,70.33541569387588722,30299.90920083958577
"USA",21,6,2010,15.990352314314237284,5540.496554382833997
"USA",21,7,2010,35.10374014330949287,12842.889451624971776
"USA",21,8,2010,248.71824339821637563,99949.453130110679453
"USA",21,9,2010,233.185497251534165564,85340.048540669481227
"USA",21,10,2010,25.83481841143230062,9472.869558053315663
"USA",21,11,2010,353.23837947023246445,113712.16188805541303
"USA",21,12,2010,87.76243778204634596,32607.96407272861724
"USA",21,13,2010,45.10722363900395711,16597.3666891034836
"USA",21,14,2010,5.62512421199218873,2015.076680533354006
"USA",21,15,2010,67.94845446415592495,23661.549642257181353
"USA",21,16,2010,71.91097970524514707,27086.502943768082307
"USA",21,17,2010,28.49509261380644728,11928.13257452677891
"USA",21,18,2010,227.950061439305534785,92147.129474695228111
"USA",21,19,2010,114.998789478828151426,52592.403125283600423
"USA",21,20,2010,9.831133571879341550,4376.265410586684640
"USA",21,21,2010,57.31197172893449399,19450.946789644259663
"USA",21,22,2010,130.69291906793622563,51582.941408850171130
"USA",21,23,2010,174.539818997380210164,70059.644793093677376
"USA",21,1,2011,177.45365937873481430,59533.041372879604933
"USA",21,2,2011,123.090975449190289126,49178.625133086431667
"USA",21,3,2011,65.838494091265336775,26729.498716480931471
"USA",21,4,2011,27.753475618904112355,11566.861593057768778
"USA",21,5,2011,42.88321563877387069,18053.514187030813416
"USA",21,6,2011,15.813576491875002370,6248.759812461086507
"USA",21,7,2011,27.172550506017806006,10381.403213493399284
"USA",21,8,2011,283.176481717328631631,115534.698123118777041
"USA",21,9,2011,124.973892268355096994,53552.409968204289144
"USA",21,10,2011,30.27975959045356707,11332.09680175324909
"USA",21,11,2011,170.552009343007908905,53159.399682332533548
"USA",21,12,2011,48.125127214984821849,20139.556590195233097
"USA",21,13,2011,42.95980021438583772,16148.84474497822082
"USA",21,14,2011,5.57013856747829945,2323.701502915703734
"USA",21,15,2011,41.44161918277561234,15644.497341381781290
"USA",21,16,2011,91.129189097319659856,33789.792918232389881
"USA",21,17,2011,3.423776343463542071,1377.048381346242165
"USA",21,18,2011,109.288715140711754340,43201.643995257050265
"USA",21,19,2011,40.532360065928796644,18928.593069011724675
"USA",21,20,2011,31.043969007487000985,14304.092224191712197
"USA",21,21,2011,43.062866416746977254,16714.932489632906699
"USA",21,22,2011,82.220045958917151414,30710.6968909070355475
"USA",21,23,2011,77.34482608066625419,32973.775906902032646
"USA",21,1,2012,178.76865647557681926,63356.693473814286548
"USA",21,2,2012,158.10938358331020193,62673.087269065576473
"USA",21,3,2012,30.00661796600045377,11572.66618529777392
"USA",21,4,2012,27.168370443448353384,11089.330563050393039
"USA",21,5,2012,40.39366140340063602,16761.66875731027715
"USA",21,6,2012,14.54452633832248554,5461.817425456491014
"USA",21,7,2012,45.06507253064675552,18304.084938059414811
"USA",21,8,2012,242.179136440130236124,97080.716223641235338
"USA",21,9,2012,149.86014280977897663,70221.073514907126484
"USA",21,10,2012,44.241181964774319592,16548.360328872538713
